,15131,78158
0,32438,35057
1,12503,57702
2,73808,43128
3,57168,71761
4,97870,29344
5,18072,79079
6,55097,92997
7,36615,67927
8,63626,85851
9,19535,91599
10,20386,53482
11,32817,55364
12,90111,84813
13,81180,13958
14,20278,82963
15,71822,70030
16,36650,74064
17,96658,93643
18,48953,12223
19,87910,32104
20,15586,46936
21,59112,47057
22,36552,32104
23,54311,15545
24,14521,35085
25,46924,41818
26,79287,17659
27,91525,46171
28,77523,63000
29,14229,61327
30,20514,77151
31,30019,35029
32,78834,57168
33,96186,92129
34,99772,60459
35,62659,23209
36,44811,97907
37,41778,46924
38,39724,54539
39,56672,11103
40,37872,44088
41,67848,46924
42,55337,58014
43,48137,34267
44,57761,47261
45,90770,82701
46,87830,32104
47,14118,43916
48,64511,97016
49,67927,26386
50,76032,55621
51,46116,43948
52,96284,26386
53,51398,32104
54,52363,45099
55,84966,24105
56,29725,47057
57,92179,73851
58,77151,57702
59,31670,23131
60,83560,34930
61,62543,62129
62,88635,55364
63,14456,87507
64,62848,35057
65,31081,15535
66,20287,11590
67,58199,55876
68,78634,63263
69,21931,62559
70,96294,23071
71,18891,21157
72,54875,35057
73,40666,75460
74,68475,71547
75,93112,57702
76,17780,50710
77,89025,82701
78,10487,77363
79,14442,67828
80,18287,10668
81,73030,47436
82,88998,81809
83,47512,43866
84,49438,52980
85,62202,13958
86,42062,33002
87,35797,54746
88,61308,74313
89,98706,85679
90,51049,29787
91,96082,47057
92,82102,77395
93,91642,37908
94,86709,16527
95,11536,39339
96,57804,77151
97,58098,58014
98,29840,37272
99,68500,77570
100,18840,17486
101,42529,62129
102,74868,62855
103,48556,44088
104,64424,35057
105,87547,70030
106,25349,55364
107,24698,95115
108,29610,37403
109,10024,93643
110,80179,44088
111,86009,67277
112,75396,28216
113,18309,37500
114,14754,67927
115,98264,13958
116,28294,77151
117,50417,96240
118,27171,12050
119,79907,32187
120,94597,73714
121,36251,58014
122,42293,43948
123,22552,46924
124,18765,85646
125,65758,37771
126,16028,74814
127,15096,32104
128,27990,62738
129,91867,23131
130,48177,62129
131,43833,67927
132,91992,96240
133,25767,58014
134,56422,35328
135,39281,87024
136,85701,70030
137,40915,95206
138,25378,23022
139,17827,44745
140,74880,31126
141,51583,56967
142,14996,82701
143,24393,64040
144,13557,31621
145,87102,77151
146,57922,50349
147,18436,82701
148,36961,68507
149,33558,18947
150,29752,24528
151,88141,99508
152,65521,66940
153,98636,24754
154,83809,23131
155,13839,85851
156,81470,35057
157,93818,69550
158,72210,82295
159,10853,84284
160,78121,55200
161,28208,85199
162,75892,13111
163,62655,18720
164,59696,86838
165,18410,26693
166,82521,30547
167,68047,85199
168,59444,62129
169,73400,82753
170,52751,25250
171,94229,67927
172,44728,45424
173,84688,47457
174,54885,53247
175,66708,85987
176,16610,19000
177,52212,47057
178,33467,90494
179,11933,34797
180,11426,23370
181,98122,11318
182,24974,98740
183,89866,61735
184,63042,84601
185,97878,62129
186,86324,88329
187,93550,65587
188,21893,32872
189,32422,82701
190,97593,95724
191,79956,43017
192,18574,66940
193,69417,70030
194,20527,62986
195,32901,78479
196,76892,14216
197,80784,20119
198,70030,46924
199,45455,19210
200,84089,55364
201,51290,32104
202,78084,35819
203,19446,43664
204,83281,82701
205,88850,60032
206,41737,26655
207,28334,87060
208,57007,63359
209,35230,79052
210,97142,62408
211,71663,44088
212,21967,56111
213,73266,70030
214,37751,73992
